Africa,African,0
Antarctica,Antarctican,0
Asia,Asian,0
Europe,European,0
Abkhazia,Abkhazian,1
Albania,Albanian,0
Algeria,Algerian,0
Andorra,Andorran,0
Angola,Angolan,0
Argentina,Argentinean,2
Armenia,Armenian,1
Australia,Australian,0
Austria,Austrian,0
Barbados,Barbadian,1
Barbuda,Barbudan,0
Bolivia,Bolivian,0
Bosnia,Bosnian,0
Brunei,Bruneian,0
Bulgaria,Bulgarian,0
Burma,Burman,1
Chile,Chilean,0
Colombia,Colombian,0
Costa Rica,Costa Rican,4
Croatia,Croatian,1
Cuba,Cuban,0
Eritrea,Eritrean,0
Estonia,Estonian,0
Ethiopia,Ethiopian,0
Fiji,Fijian,0
Guatemala,Guatemalan,0
Guinea,Guinean,0
Haiti,Haitian,0
Honduras,Honduran,0
India,Indian,0
Indonesia,Indonesian,0
Jamaica,Jamaican,0
Kenya,Kenyan,0
Latvia,Latvian,0
Liberia,Liberian,0
Libya,Libyan,0
Lithuania,Lithuanian,0
Malawi,Malawian,0
Malaysia,Malaysian,0
Mali,Malian,0
Mauritania,Mauritanian,0
Mauritius,Mauritian,0
Mexico,Mexican,0
Moldova,Moldovan,0
Monaco,Monacan,2
Mongolia,Mongolian,0
Morocco,Moroccan,0
Mozambique,Mozambican,0
Namibia,Namibian,0
Nauru,Nauruan,0
Nicaragua,Nicaraguan,1
Nigeria,Nigerian,0
Norway,Norwegian,0
Palau,Palauan,0
Paraguay,Paraguayan,0
Persia,Persian,0
Peru,Peruvian,0
Puerto Rico,Puerto Rican,4
Romania,Romanian,0
Russia,Russian,0
Rwanda,Rwandan,1
Saint Lucia,Saint Lucian,4
Samoa,Samoan,0
Saudi Arabia,Saudi Arabian,4
Serbia,Serbian,1
Singapore,Singaporean,0
Slovakia,Slovakian,1
Slovenia,Slovenian,1
South Africa,South African,4
Sri Lanka,Sri Lankan,4
Syria,Syrian,0
Tanzania,Tanzanian,0
Tibet,Tibetan,0
Tonga,Tongan,0
Tunisia,Tunisian,0
Tuvalu,Tuvaluan,0
Uganda,Ugandan,0
Uruguay,Uruguayan,0
Venezuela,Venezuelan,0
Zambia,Zambian,0
Alaska,Alaskan,0
Alberta,Albertan,0
Andalusia,Andalusian,0
Arizona,Arizonan,0
Arkansas,Arkansan,0
Asturias,Asturian,0
Bavaria,Bavarian,0
Bohemia,Bohemian,0
Borneo,Bornean,0
British Columbia,British Columbian,4
California,Californian,0
Cantabria,Cantabrian,0
Catalonia,Catalan,0
Corsica,Corsican,0
Crete,Cretan,0
Crimea,Crimean,0
Dalmatia,Dalmatian,0
Delaware,Delawarean,0
Extremadura,Extremaduran,0
Galilee,Galilean,0
Hawaii,Hawaiian,0
Hebrides,Hebridean,0
Idaho,Idahoan,0
Iowa,Iowan,0
Java,Javan,1
Judea,Judean,0
Karelia,Karelian,0
Liguria,Ligurian,0
Madeira,Madeiran,0
Majorca,Majorcan,0
Manitoba,Manitoban,0
Masuria,Masurian,0
Minnesota,Minnesotan,0
Minorca,Minorcan,0
Mississippi,Mississippian,0
Missouri,Missourian,0
Montana,Montanan,0
Moravia,Moravian,0
Nebraska,Nebraskan,0
Nevada,Nevadan,0
New Jersey,New Jerseyan,4
New Mexico,New Mexican,4
Nova Scotia,Nova Scotian,4
Ohio,Ohioan,0
Oklahoma,Oklahoman,0
Ontario,Ontarian,0
Patagonia,Patagonian,0
Pennsylvania,Pennsylvanian,0
Pomerania,Pomeranian,0
Samogitia,Samogitian,0
Sardinia,Sardinian,0
Silesia,Silesian,0
Sioux City,Sioux Cityan,4
Styria,Styrian,0
Sumatra,Sumatran,0
Tahiti,Tahitian,0
Tasmania,Tasmanian,0
Tennessee,Tennesseean,0
Texas,Texan,0
Thuringia,Thuringian,0
Transylvania,Transylvanian,0
Umbria,Umbrian,0
Utah,Utahn,0
Wallachia,Wallachian,0
Alexandria,Alexandrian,0
Atlanta,Atlantan,0
Baltimore,Baltimorean,0
Canberra,Canberran,0
Charlotte,Charlottean,0
Chicago,Chicagoan,0
Cincinnati,Cincinnatian,0
Hanoi,Hanoian,0
Kiev,Kievan,0
Kolkata,Calcuttan,0
Las Vegas,Las Vegan,4
Miami,Miamian,0
Minneapolis,Minneapolitan,0
Ottawa,Ottawan,0
Philadelphia,Philadelphian,0
Pisa,Pisan,0
Riga,Rigan,0
Rome,Roman,0
San Antonio,San Antonian,4
San Diego,San Diegan,4
San Francisco,San Franciscan,4
Sofia,Sofian,0
Argentina,Argentinian,2
Bahamas,Bahamian,0
Belarus,Belarusian,0
Belgium,Belgian,0
Bermuda,Bermudian,0
Brazil,Brazilian,0
Cameroon,Cameroonian,0
Canada,Canadian,0
Chad,Chadian,0
Ecuador,Ecuadorian,0
Egypt,Egyptian,0
Ghana,Ghanaian,0
Grenada,Grenadian,0
Hungary,Hungarian,0
Iran,Iranian,2
Italy,Italian,0
Jordan,Jordanian,0
Laos,Laotian,0
Maldives,Maldivian,0
Palestine,Palestinian,0
Trinidad,Trinidadian,0
Adelaide,Adelaidian,0
Alabama,Alabamian,1
Athens,Athenian,0
Ballarat,Ballaratian,0
Boston,Bostonian,0
Brisbane,Brisbanian,1
Bristol,Bristolian,0
Burgundy,Burgundian,0
Calgary,Calgarian,0
Cardiff,Cardiffian,0
Corinth,Corinthian,0
Coventry,Coventrian,0
Edmonton,Edmontonian,0
Florida,Floridian,0
Fredericton,Frederictonian,0
Gibraltar,Gibraltarian,0
Hartlepool,Hartlepudlian,0
Hesse,Hessian,0
Houston,Houstonian,0
Iowa City,Iowa Citian,4
Lethbridge,Lethbridgian,0
Liverpool,Liverpudlian,0
Louisiana,Louisianian,0
Madrid,Madrilenian,0
Manchester,Mancunian,0
Melbourne,Melburnian,0
Michigan,Michiganian,3
New Guinea,New Guinian,4
New Orleans,New Orleanian,4
Oregon,Oregonian,0
Paris,Parisian,0
Peterborough,Peterborian,0
Plymouth,Plymothian,0
Saskatchewan,Saskatchewanian,0
Sicily,Sicilian,0
Thrace,Thracian,0
Guam,Guamanian,0
Bendigo,Bendigonian,0
Panama,Panamanian,0
Sligo,Sligonian,0
Tobago,Tobagonian,0
Toronto,Torontonian,0
Argentina,Argentine,2
Byzantium,Byzantine,0
Florence,Florentine,2
Montenegro,Montenegrin,0
Philistia,Philistine,0
Brisbane,Brisbanite,1
Chennai,Chennaite,0
Dallas,Dallasite,0
Delhi,Delhite,0
Denver,Denverite,0
Dunedin,Dunedinite,0
Durban,Durbanite,0
Israel,Israelite,2
Istanbul,Istanbulite,0
Jerusalem,Jerusalemite,0
Karachi,Karachiite,0
Moscow,Muscovite,2
New Hampshire,New Hampshirite,4
Odessa,Odessite,0
Perth,Perthite,1
Seattle,Seattleite,0
Seoul,Seoulite,0
Spokane,Spokanite,0
Tokyo,Tokyoite,0
Vancouver,Vancouverite,0
Wisconsin,Wisconsinite,0
Wyoming,Wyomingite,0
Amsterdam,Amsterdammer,0
Auckland,Aucklander,0
Beijing,Beijinger,0
Belgrade,Belgrader,0
Berlin,Berliner,0
Budapest,Budapester,0
Cleveland,Clevelander,0
Copenhagen,Copenhagener,0
Detroit,Detroiter,0
Dublin,Dubliner,0
Dresden,Dresdener,0
Frankfurt,Frankfurter,0
Hamburg,Hamburger,0
Iceland,Icelander,1
Leeds,Loiner,0
Leipzig,Leipziger,0
Liechtenstein,Liechtensteiner,0
London,Londoner,0
Luxembourg,Luxembourger,0
Michigan,Michigander,0
Montreal,Montrealer,0
Netherlands,Netherlander,2
New England,New Englander,4
New York,New Yorker,4
New Zealand,New Zealander,4
Pittsburgh,Pittsburgher,0
Prague,Praguer,0
Quebec,Quebecker,3
Queensland,Queenslander,0
Rhineland,Rhinelander,0
Rhode Island,Rhode Islander,4
Rotterdam,Rotterdammer,0
Saigon,Saigoner,0
Solomon Islands,Solomon Islander,4
Somaliland,Somalilander,0
Stockholm,Stockholmer,0
Stuttgart,Stuttgarter,0
Tallinn,Tallinner,0
Winnipeg,Winnipegger,0
Yellowknife,Yellowknifer,0
Philippines,Filipino,0
Los Angeles,Angeleno or,5
Cornwall,Cornish,0
Denmark,Danish,1
England,English,1
Finland,Finnish,2
Ireland,Irish,1
Kurdistan,Kurdish,1
Poland,Polish,1
Scotland,Scottish,1
Spain,Spanish,1
Sweden,Swedish,1
Turkey,Turkish,2
Cairo,Cairene,0
Cyrenaica,Cyrene,0
Damascus,Damascene,0
Nazareth,Nazarene,0
Slovenia,Slovene,1
Spain,Spaniard,0
Savoy,Savoyard,0
Abruzzo,Abruzzese,0
Aragon,Aragonese,0
Aceh,Acehnese,0
Assam,Assamese,0
Benin,Beninese,1
Bern,Bernese,0
Bhutan,Bhutanese,0
Burma,Burmese,2
Calabria,Calabrese,0
China,Chinese,0
East Timor,East Timorese,4
Gabon,Gabonese,0
Genoa,Genovese,0
Guyana,Guyanese,0
Japan,Japanese,0
Lebanon,Lebanese,0
Malta,Maltese,0
Milan,Milanese,0
Nepal,Nepalese,1
Piedmont,Piedmontese,0
Pittsburgh,Pittsburghese,2
Portugal,Portuguese,0
Rwanda,Rwandese,1
Sark,Sarkese,0
Senegal,Senegalese,0
Shanghai,Shanghainese,0
Siam,Siamese,0
Sikkim,Sikkimese,0
Suriname,Surinamese,0
Taiwan,Taiwanese,0
Togo,Togolese,0
Turin,Torinese,0
Vienna,Viennese,0
Allahabad,Allahabadi,0
Azawad,Azawadi,0
Azerbaijan,Azerbaijani,0
Balochistan,Balochistani,2
Bahrain,Bahraini,0
Bangladesh,Bangladeshi,0
Bengal,Bengali,0
Bihar,Bihari,0
Dagestan,Dagestani,0
Gujarat,Gujarati,0
Hayastan,Hayastani,1
Iran,Irani,2
Iraq,Iraqi,0
Israel,Israeli,2
Kashmir,Kashmiri,0
Kazakhstan,Kazakhstani,1
Kuwait,Kuwaiti,0
Kyrgyzstan,Kyrgyzstani,1
Nepal,Nepali,1
Oman,Omani,0
Pakistan,Pakistani,0
Qatar,Qatari,0
Rajasthan,Rajasthani,0
Sindh,Sindhi,0
Somalia,Somali,2
Tajikistan,Tajikistani,1
Turkmenistan,Turkmenistani,1
Uzbekistan,Uzbekistani,1
Yemen,Yemeni,0
Corfu,Corfiot,0
Cyprus,Cypriot,0
Phanar,Phanariote,0
Menton,Mentonasque,0
Galloway,Galwegian,0
Galway,Galwegian,0
Glasgow,Glaswegian,0
Norway,Norwegian,0
Aberdeen,Aberdonian,0
Dundee,Dundonian,0
Oamaru,Oamaruvian,0
Oslo,Oslovian,0
Peru,Peruvian,0
Warsaw,Varsovian,0
